fiawat, 197.861
laura, 192.486
collis, 186.013
palotti, 170.118
nina, 164.923
trand, 164.864
wolfe, 151.128
lilith,107.736
miko, 96.703
mars,72.536
paradise,64.801
gaia,58.213
alba,58.191
caitlyn,57.025
betty,54.450
carol,54.245
fiadi,47.816
rin,40.098
ansell,35.095
eyma,35.094
luna,34.493
abaddon,18.140
asmodeus,18.140
mammon,16.844
beelzebub,16.844
sylvia,13.254
hadina,11.697
ymir, 6.596
karasu,6.490
fiattina,5.171
gascoigne,3.878
ebisu,3.877
bhukkhuni,2.585
fiates,1.292

         millitary   trade   negotiation  leader
laura*     5,2         2           1        2
collis,    4,1         3           5,1      3
fiawat*    6           5,1         5,1      5,1
trand*     5,3         2           1        3
nina*      4,4,2       1           1        2
palotti    1           2           1        4,4,2
wolfe,     1           2           2        6,1
lilith,    3,5         2           3        4
sylvia*    5           1           3,2      2
alba,      4           2           1        5,3
fiadi      2           2           2        2,4
gaia       2           4,1         5        1
paradise   1           2           4,1      5
ymir       5           2           1        3,2
carol      1           5,3         2        3
luna       1           2           5,3      3
miko       3           5,4         5,4      3
mammon     5,3         3           2        4
eyma       1           5           2        2
gascoigne  1        2           4,2      1
betty      1           4,3         2        2
bhikkhuni  2        2           4,3      1
mars       5,3         2           1        4
ebisu      1           5,3         4        2
caitlyn    4           4           5,3      2
hadina*    5,4         3           1        3
fiates     1           5,4         3        3
karasu     5           3,2         1        2
ansell     1           5           2        4,1
rin        5,4         3           3        5,4
fiattina   1           3           2        5,3
beelzebub  5,3        3           3        3
abaddon    5,3         4           2        3
asmodeus   5,3         3           4        2







